Reading additional input from stdin...
OpenAI Codex v0.133.0
--------
workdir: C:\Users\koosh\Dino\.claude\worktrees\swapguard
model: gpt-5.3-codex-spark
provider: openai
approval: never
sandbox: danger-full-access
reasoning effort: low
reasoning summaries: none
session id: 019e80d2-a918-7061-a740-8dc004cee17e
--------
user
P0 CRASH HARDENING (DINOForge). DINO crashed on skirmish load: AssetSwapSystem swapped a mesh whose Material used the built-in 'Standard' shader into a live entity; DINO's Hybrid Renderer V2 (HRV2/URP) only accepts SRP-Batcher-compatible URP shaders, so the renderer faulted -> native crash (no managed exception). A bad material must NEVER crash the game. Branch fix/swap-shader-guard-20260531. NO push/stash/--no-verify; git add only specific files. 

FIX in src/Runtime/Bridge/AssetSwapSystem.cs: before assigning a swapped Material to a live ECS entity (in the Material-resolve/apply path — find where ResolveReplacementAssets returns a Material and where it's set on RenderMesh), VALIDATE shader compatibility: check the material's shader is URP/SRP-Batcher compatible — e.g. material.shader.name starts with "Universal Render Pipeline/" OR FindPassTagValue/shader has SRP batcher support. If the shader is NOT URP-compatible (e.g. 'Standard', 'Legacy', 'Diffuse', built-in), SKIP that material swap (keep the mesh swap if mesh is fine, or skip both), LOG ONCE per bundle ('[AssetSwap] skipped material swap for X: shader Y not HRV2-compatible'), and continue — never assign it. Add a static HashSet to log-once. netstandard2.0. Build: dotnet build src/Runtime/DINOForge.Runtime.csproj -c Release -p:TargetFramework=netstandard2.0 — exit 0. DO NOT deploy. Commit. CHANGELOG. Report: the guard code (file+lines), build exit, plainly: can a non-URP material now crash the renderer? NO expected.
codex
I’ll apply the guard in the `ResolveReplacementAssets`/`RenderMesh` assignment path inside `AssetSwapSystem.cs`, add a netstandard2.0-compatible one-time-per-bundle skip log, update `CHANGELOG.md`, then run the exact release build command and commit only touched files.
exec
"C:\\Program Files\\PowerShell\\7\\pwsh.exe" -Command 'rg -n "ResolveReplacementAssets|RenderMesh|AssetSwapSystem|Apply|material|shader" src/Runtime/Bridge/AssetSwapSystem.cs' in C:\Users\koosh\Dino\.claude\worktrees\swapguard
 succeeded in 738ms:
28:    ///   4. The system also applies RenderMesh visual swaps for ECS entities matching
37:    ///   - Visual data is stored in RenderMesh shared components.
43:    ///   1. Build a test AssetBundle with a replacement mesh/material.
48:    /// Entity dump analysis confirms DINO uses Unity.Rendering.RenderMesh shared
50:    /// RenderMesh + BuiltinMaterialPropertyColor + RenderBounds + PerInstanceCullingTag.
51:    /// The swap targets the RenderMesh shared component to replace mesh/material refs.
54:    public class AssetSwapSystem : SystemBase
176:        /// RenderMesh + AerialUnitComponent query therefore returned 0 → "0 succeeded" for every
177:        /// aerial bundle. DINO's renderable combat archetypes that carry RenderMesh directly are
179:        /// <c>Components.SiegeUnit</c> (live count 162, RenderMesh on the same entity) — distinct
233:        /// Iter-148 #912: AssetSwapSystem may run in a World that has only prefab templates
273:        /// #986: For parent archetypes that do not carry RenderMesh on themselves (DINO buildings:
274:        /// Components.BuildingBase has LinkedEntityGroup but RenderMesh lives on a child entity),
276:        /// the child entities that DO carry the RenderMesh shared component. Returns a NativeArray
279:        private NativeArray<Entity> CollectRenderMeshChildren(
302:                        // No child group — if the parent itself somehow has RenderMesh, take it.
323:                    $"CollectRenderMeshChildren: walk failed for archetype '{archetypeType.FullName}' " +
349:            // Also clear the RenderMesh type cache so a different DOTS variant
350:            // (HRV1 RenderMesh → HRV2 RenderMeshUnmanaged / MaterialMeshInfo) is re-resolved
372:            DebugLog.Write("AssetSwap", "AssetSwapSystem.OnCreate");
386:                DebugLog.Write("AssetSwap", "AssetSwapSystem.ScheduleReset: frame counter reset, will re-apply swaps after delay.");
402:            // Iter-148 #912: AssetSwapSystem may run in Default World which only has prefab
414:                        $"AssetSwapSystem: waiting for entities (best world='{bestName}' count={bestCount}, need>=1000, frame={_frameCount})");
423:                    $"AssetSwapSystem: using world '{bestName}' with {bestCount} entities (was running in '{World.Name}')");
426:            DebugLog.Write("AssetSwap", $"AssetSwapSystem: processing {pending.Count} pending swap(s)");
438:                    bool result = ApplySwap(request, patchDir, assetService, bestEm);
443:                        DebugLog.Write("AssetSwap", $"AssetSwapSystem: swap applied — address='{request.AssetAddress}' " +
453:                            DebugLog.Write("AssetSwap", $"AssetSwapSystem: giving up on '{request.AssetAddress}' " +
458:                            DebugLog.Write("AssetSwap", $"AssetSwapSystem: swap failed — address='{request.AssetAddress}' " +
469:                        DebugLog.Write("AssetSwap", $"AssetSwapSystem: swap exception for '{request.AssetAddress}': {ex.Message}");
475:            DebugLog.Write("AssetSwap", $"AssetSwapSystem: batch complete — {succeeded} succeeded, {failed} failed");
481:        /// RenderMesh swap on matched ECS entities.
483:        private bool ApplySwap(AssetSwapRequest request, string patchDir, RuntimeAssetService assetService, EntityManager bestEm)
489:                DebugLog.Write("AssetSwap", $"ApplySwap: mod bundle not found: {modBundleFullPath}");
522:                            DebugLog.Write("AssetSwap", $"ApplySwap: unable to resolve vanilla bundle path for '{request.AssetAddress}'");
536:                            DebugLog.Write("AssetSwap", $"ApplySwap: patched bundle written to '{outputPath}'");
538:                            DebugLog.Write("AssetSwap", $"ApplySwap: bundle patch failed for '{request.AssetAddress}'");
543:                    DebugLog.Write("AssetSwap", $"ApplySwap: address '{request.AssetAddress}' not in catalog — skipping disk patch, using entity swap only");
548:                DebugLog.Write("AssetSwap", $"ApplySwap: could not extract '{request.AssetName}' from '{modBundleFullPath}' — using entity swap only");
551:            // Best-effort live RenderMesh swap on ECS entities.
552:            bool entitySwapResult = TrySwapRenderMeshFromBundle(
554:            DebugLog.Write("AssetSwap", $"ApplySwap: entity swap result={entitySwapResult} for '{request.AssetAddress}'");
561:        /// carrying a RenderMesh shared component.
566:        private bool TrySwapRenderMeshFromBundle(
578:                        $"TrySwapRenderMeshFromBundle: bundle '{Path.GetFileName(modBundlePath)}' " +
584:            // #101 fix (Bug B): the mesh/material/prefab inside the bundle is named after the
589:            (Mesh? replacementMesh, Material? replacementMat) = ResolveReplacementAssets(bundle, assetName);
594:                // yield a swap. Mark it permanently failed so ApplySwap skips it on every later
599:                    $"TrySwapRenderMeshFromBundle: no usable Mesh/Material/prefab found in bundle " +
607:            // material to URP/Lit with PBR slots (driven by pack PBR metadata when present).
614:            Type? renderMeshType = ResolveRenderMeshType();
617:                DebugLog.Write("AssetSwap", "TrySwapRenderMeshFromBundle: Unity.Rendering.RenderMesh type not found");
621:            // #608 P2: HRV2 (RenderMeshUnmanaged / MaterialMeshInfo) uses blittable structs
622:            // with readonly mesh/material data — the legacy FieldInfo.SetValue path doesn't
626:                DebugLog.Write("AssetSwap", $"TrySwapRenderMeshFromBundle: HRV2 mesh-swap not yet implemented (variant='{_renderMeshVariantName}') — falling back to no-op for entity swap. Bundle-disk patch (if successful) still applies.");
631:            // When the mapping is absent or unrecognised we fall back to RenderMesh-only query,
634:            // #986: When the archetype carries RenderMesh on a CHILD entity (DINO buildings:
636:            // RenderMesh on the parent), the RenderMesh+archetype query returns 0. We capture
653:                        $"TrySwapRenderMeshFromBundle: filtering by '{archetypeTypeName}' " +
659:                        $"TrySwapRenderMeshFromBundle: archetype type '{archetypeTypeName}' not " +
660:                        $"found in assemblies; falling back to RenderMesh-only query");
673:            // #986: child-entity RenderMesh fallback. DINO buildings carry the archetype marker
674:            // (Components.BuildingBase) on a PARENT entity whose RenderMesh lives on a CHILD
675:            // entity referenced via LinkedEntityGroup. The RenderMesh+archetype query above
677:            // archetype-only and collect the RenderMesh-bearing children. This is what makes
681:                NativeArray<Entity> childMatches = CollectRenderMeshChildren(
691:                        $"TrySwapRenderMeshFromBundle: parent archetype '{resolvedArchetypeType.FullName}' " +
692:                        $"carries no RenderMesh; resolved {entities.Length} RenderMesh child entities " +
703:            // between AssetSwapSystem first OnUpdate at frame 600 and entities arriving
712:                        $"TrySwapRenderMeshFromBundle: entity query returned 0 results for asset='{assetName}' " +
759:                        $"WARN: TrySwapRenderMeshFromBundle: reflection lookup failed (#{_reflectionFailCount}) " +
785:            FieldInfo? materialField = renderMeshType.GetField("material");
804:            // Uses generic GetSharedComponentData<RenderMesh>(Entity) via MakeGenericMethod
871:                    $"TrySwapRenderMeshFromBundle: bundle '{bundleFileName}' vanilla_mapping='{vanillaMapping}' " +
912:            // entities (observed 25,713 RenderMesh entities matching a single bundle). Applying
913:            // the same replacement mesh+material to every match makes every unit look identical
922:                    $"TrySwapRenderMeshFromBundle: capping swap at {MaxEntitiesPerSwap}/{entities.Length} entities for asset='{assetName}' " +
